#time,	NE,	NI
737	0.0764	0.0214
738	0.029	0.0208
739	0.1572	0.0092
740	0.4628	0.05
741	0.39	0.094
742	0.137	0.032
743	0.127	0.03
744	0.1046	0.022
745	0.0864	0.0214
746	0.0862	0.022
747	0.0652	0.021
748	0.1294	0.0002
749	0.4628	0.0574
750	0.363	0.0854
751	0.1134	0.0266
752	0.0964	0.0224
753	0.0972	0.0216
754	0.0904	0.0216
755	0.0788	0.0216
756	0.0032	0.0102
757	0.1736	0.0206
758	0.4726	0.0534
759	0.3678	0.0858
760	0.1142	0.0272
761	0.0946	0.0222
762	0.1012	0.022
763	0.089	0.022
764	0.032	0.0112
765	0.0032	0.0192
766	0.1716	0.0002
767	0.4954	0.0586
768	0.3862	0.0866
769	0.1322	0.028
770	0.1172	0.022
771	0.1334	0.0222
772	0.0494	0.0124
773	0.0346	0.0212
774	0.001	0
775	0.2166	0.0072
776	0.5298	0.0662
777	0.385	0.0926
778	0.1432	0.0334
779	0.122	0.0222
780	0.1364	0.0142
781	0.0902	0.0216
782	0.0354	0.0128
783	0.0008	0.0044
784	0.219	0.007
785	0.5618	0.0818
786	0.3906	0.0886
787	0.134	0.0298
788	0.1128	0.0162
789	0.1586	0.0204
790	0.058	0.0204
791	0.0012	0
792	0.0012	0.0002
793	0.2194	0.0002
794	0.5598	0.0712
795	0.4074	0.0896
796	0.1382	0.0276
797	0.1284	0.0184
798	0.2378	0.0244
799	0.0888	0.0226
800	0.0008	0
801	0.0012	0.0002
802	0.2086	0.0206
803	0.5266	0.0706
804	0.3682	0.085
805	0.11	0.0264
806	0.1064	0.0214
807	0.1398	0.0222
808	0.0394	0.0104
809	0.0238	0.0104
810	0.0522	0.0202
811	0.2244	0.0032
812	0.544	0.0758
813	0.371	0.0872
814	0.1228	0.0264
815	0.158	0.0224
816	0.1486	0.0148
817	0.027	0.008
818	0.0728	0.0214
819	0.0006	0.008
820	0.2386	0.0102
821	0.5768	0.0842
822	0.3788	0.0878
823	0.1526	0.0276
824	0.1272	0.0172
825	0.1304	0.009
826	0.0826	0.0208
827	0.0044	0.0098
828	0.0008	0.01
829	0.2642	0.0202
830	0.5786	0.0758
831	0.3894	0.0886
832	0.1254	0.026
833	0.0788	0.0076
834	0.1254	0.0188
835	0.0446	0.012
836	0.0008	0.0086
837	0.0032	0.0186
838	0.2226	0.004
839	0.595	0.0786
840	0.4086	0.0956
841	0.1356	0.0274
842	0.1168	0.018
843	0.1312	0.019
844	0.0384	0.0108
845	0.073	0.0218
846	0.0444	0.016
847	0.2652	0.0044
848	0.6004	0.0814
849	0.3852	0.0908
850	0.1442	0.0152
851	0.0776	0.0128
852	0.0698	0.0098
853	0.083	0.0208
854	0.069	0.0212
855	0.0004	0.0092
856	0.2808	0.002
857	0.6456	0.091
858	0.409	0.0886
859	0.1176	0.01
860	0.0722	0.0102
861	0.1162	0.0202
862	0.0856	0.0216
863	0.0012	0.0106
864	0.001	0.0102
865	0.319	0.0388
866	0.6362	0.1098
867	0.3496	0.0842
868	0.04	0.005
869	0.0826	0.015
870	0.1252	0.0214
871	0.0438	0.0124
872	0.0014	0.008
873	0.0002	0.0184
874	0.3104	0.0108
875	0.6324	0.113
876	0.322	0.0752
877	0.0912	0.0148
878	0.1248	0.021
879	0.1418	0.014
880	0.0308	0.01
881	0.0748	0.0224
882	0.0008	0.01
883	0.3372	0.0204
884	0.6034	0.1064
885	0.2956	0.0714
886	0.1126	0.0204
887	0.0844	0.0144
888	0.0804	0.01
889	0.0806	0.0212
890	0.0008	0.0106
891	0.0018	0.02
892	0.3184	0.0184
893	0.603	0.0984
894	0.324	0.0724
895	0.0974	0.015
896	0.0854	0.0096
897	0.1282	0.0204
898	0.0372	0.0112
899	0.0184	0.0216
900	0.0008	0.0004
901	0.3348	0.006
902	0.6388	0.1068
903	0.3338	0.0806
904	0.1214	0.0174
905	0.1304	0.0242
906	0.146	0.0184
907	0.107	0.0248
908	0.0396	0.0178
909	0.0004	0
910	0.3646	0
911	0.6474	0.1104
912	0.3186	0.0662
913	0.0758	0.0124
914	0.0894	0.013
915	0.1476	0.0212
916	0.0838	0.0246
917	0.0002	0.0002
918	0.0014	0.0006
919	0.3764	0.0002
920	0.6378	0.1128
921	0.2694	0.0632
922	0.0562	0.0086
923	0.1058	0.0194
924	0.2152	0.0232
925	0.0948	0.026
926	0.0004	0.0002
927	0.0016	0.0006
928	0.392	0.0272
929	0.602	0.1076
930	0.2324	0.058
931	0.0616	0.0132
932	0.1122	0.0218
933	0.1618	0.0238
934	0.0414	0.0126
935	0.001	0.0078
