#time,	NE,	NI
725	0.311	0.075
726	0.1748	0.0338
727	0.1566	0.0362
728	0.206	0.0432
729	0.1368	0.0368
730	0.0798	0.016
731	0.1428	0.028
732	0.1186	0.0272
733	0.2182	0.052
734	0.1488	0.0386
735	0.2228	0.0596
736	0.0962	0.0202
737	0.2364	0.059
738	0.0422	0.0068
739	0.1152	0.0278
740	0.0458	0.0006
741	0.1206	0.0304
742	0.1258	0.0234
743	0.1316	0.0366
744	0.1634	0.04
745	0.159	0.0242
746	0.2386	0.0694
747	0.1006	0.0256
748	0.1378	0.0344
749	0.0322	0
750	0.1198	0.0282
751	0.0832	0.0126
752	0.2004	0.0446
753	0.1906	0.048
754	0.0806	0.0196
755	0.0816	0.0206
756	0.0174	0.0044
757	0.0048	0.0042
758	0.0936	0.0236
759	0.0888	0.0162
760	0.2982	0.0726
761	0.234	0.053
762	0.247	0.0636
763	0.2616	0.0638
764	0.1236	0.0364
765	0.0018	0.0026
766	0.003	0.0018
767	0.0024	0.0004
768	0.0258	0.0006
769	0.091	0.0224
770	0.0536	0.0124
771	0.2046	0.0514
772	0.0998	0.022
773	0.174	0.047
774	0.0662	0.0184
775	0.1342	0.0346
776	0.0902	0.0256
777	0.018	0.0072
778	0.0982	0.025
779	0.149	0.02
780	0.2352	0.0542
781	0.1818	0.0438
782	0.2318	0.0528
783	0.1982	0.0396
784	0.1474	0.0332
785	0.0966	0.0238
786	0.0326	0.0012
787	0.0918	0.0226
788	0.0492	0.0002
789	0.2008	0.0502
790	0.0898	0.0184
791	0.1692	0.04
792	0.1188	0.03
793	0.0106	0.0002
794	0.1968	0.0446
795	0.1542	0.0316
796	0.1986	0.0494
797	0.1136	0.0286
798	0.3032	0.0836
799	0.009	0.0074
800	0.0312	0
801	0.1192	0.0308
802	0.0066	0.0006
803	0.1574	0.032
804	0.0784	0.0246
805	0.0844	0.0164
806	0.1978	0.0494
807	0.0192	0.0072
808	0.1988	0.0502
809	0.0228	0
810	0.1	0.025
811	0.008	0.004
812	0.0092	0.0038
813	0.0292	0.0084
814	0.074	0.0124
815	0.1868	0.0422
816	0.3212	0.073
817	0.2562	0.0568
818	0.2072	0.0488
819	0.1406	0.0402
820	0.1146	0.0288
821	0.0094	0.0004
822	0.0004	0
823	0.0044	0
824	0.0484	0.01
825	0.177	0.0434
826	0.1924	0.0306
827	0.239	0.0634
828	0.1686	0.045
829	0.2278	0.066
830	0.153	0.033
831	0.1592	0.037
832	0.132	0.033
833	0.1524	0.0384
834	0.0912	0.0234
835	0.0098	0.0004
836	0.1044	0.026
837	0.039	0.001
838	0.2002	0.0504
839	0.012	0.0002
840	0.0402	0.0094
841	0.081	0.0198
842	0.075	0.0164
843	0.108	0.0294
844	0.1602	0.0336
845	0.1528	0.0358
846	0.1994	0.0428
847	0.1486	0.0406
848	0.2092	0.0524
849	0.1818	0.0444
850	0.0992	0.0256
851	0.092	0.0188
852	0.1386	0.0338
853	0.128	0.0178
854	0.2842	0.0704
855	0.116	0.032
856	0.2126	0.0516
857	0.1508	0.028
858	0.2534	0.0636
859	0.0328	0.0064
860	0.0802	0.0194
861	0.0528	0.0122
862	0.1066	0.021
863	0.104	0.0358
864	0.0236	0.0102
865	0.1196	0.03
866	0.1394	0.029
867	0.287	0.0634
868	0.2064	0.0544
869	0.0554	0.0122
870	0.1252	0.0236
