#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
11633	0.2734	0.0644
11634	0.2128	0.0496
11635	0.1124	0.0252
11636	0.046	0.0106
11637	0.0182	0.004
11638	0.0076	0.0006
11639	0.0026	0.0002
11640	0.0006	0
11641	0.0012	0.0002
11642	0.0006	0.0004
11643	0.0082	0.0014
11644	0.162	0.0422
11645	0.298	0.073
11646	0.3052	0.073
11647	0.2428	0.06
11648	0.1176	0.028
11649	0.0556	0.0132
11650	0.0224	0.0052
11651	0.0086	0.002
11652	0.0034	0.0004
11653	0.0026	0
11654	0.001	0
11655	0.0022	0.0002
11656	0.0038	0.0006
11657	0.0182	0.0044
11658	0.224	0.054
11659	0.4358	0.1078
11660	0.3242	0.0754
11661	0.2028	0.0536
11662	0.1026	0.0258
11663	0.0512	0.0104
11664	0.019	0.0056
11665	0.0086	0.002
11666	0.0042	0.0006
11667	0.001	0.0002
11668	0.0008	0.0006
11669	0.0012	0.0006
11670	0.0082	0.0008
11671	0.1508	0.0374
11672	0.359	0.089
11673	0.3452	0.0836
11674	0.27	0.0688
11675	0.1784	0.0424
11676	0.0928	0.0238
11677	0.042	0.0098
11678	0.0174	0.005
11679	0.0068	0.0024
11680	0.0028	0.0006
11681	0.0022	0.0006
11682	0.0012	0.001
11683	0.0116	0.0024
11684	0.158	0.0392
11685	0.362	0.086
11686	0.461	0.113
11687	0.2788	0.0682
11688	0.1368	0.0346
11689	0.0658	0.0134
11690	0.0262	0.0052
11691	0.0102	0.002
11692	0.0036	0.0006
11693	0.0016	0.0006
11694	0.0006	0
11695	0.0004	0.0002
11696	0.001	0.0002
11697	0.0006	0.0004
11698	0.0014	0.0002
11699	0.0056	0.0008
11700	0.1452	0.0382
11701	0.2882	0.0704
11702	0.3026	0.0728
11703	0.2348	0.0536
11704	0.1302	0.028
11705	0.0654	0.0136
11706	0.0292	0.0064
11707	0.0128	0.0016
11708	0.0064	0.001
11709	0.004	0.0004
11710	0.0018	0.0004
11711	0.0028	0.0004
11712	0.0084	0.0016
11713	0.0744	0.02
11714	0.2604	0.0694
11715	0.2152	0.0566
11716	0.2092	0.051
11717	0.1756	0.044
11718	0.0874	0.0212
11719	0.0392	0.0086
11720	0.0178	0.0046
11721	0.0056	0.002
11722	0.0026	0.0006
11723	0.002	0
11724	0.002	0.0002
11725	0.021	0.0046
11726	0.1908	0.05
11727	0.2456	0.0654
11728	0.2018	0.0522
11729	0.2042	0.0502
11730	0.1176	0.0292
11731	0.06	0.017
11732	0.0302	0.0064
11733	0.0126	0.0034
11734	0.0042	0.0014
11735	0.0014	0.0004
11736	0.0012	0.0006
11737	0.0032	0.0002
11738	0.0186	0.0048
11739	0.1414	0.0334
11740	0.3912	0.1014
11741	0.262	0.064
11742	0.2052	0.0498
11743	0.1004	0.0232
11744	0.046	0.0096
11745	0.0164	0.0032
11746	0.0058	0.0008
11747	0.004	0.0006
11748	0.0018	0.0006
11749	0.0014	0.0008
11750	0.0006	0.0004
11751	0.0056	0.0024
11752	0.0328	0.006
11753	0.3784	0.0942
11754	0.379	0.0936
11755	0.2608	0.063
11756	0.1772	0.043
11757	0.0888	0.0212
11758	0.0384	0.0104
11759	0.015	0.0026
11760	0.0062	0.001
11761	0.0018	0.0006
11762	0.0008	0
11763	0.0008	0.0002
11764	0.0024	0.0012
11765	0.0166	0.0034
11766	0.2898	0.074
11767	0.349	0.0886
11768	0.2964	0.0774
11769	0.1706	0.042
11770	0.0852	0.0202
11771	0.0382	0.0078
11772	0.0142	0.0034
11773	0.0048	0.0012
11774	0.0012	0.0004
11775	0.0012	0.0002
11776	0.001	0
11777	0.0008	0.0004
11778	0.005	0.0006
11779	0.0804	0.0204
11780	0.3042	0.0778
11781	0.3574	0.0902
11782	0.3068	0.0744
11783	0.2062	0.0504
11784	0.1112	0.0266
11785	0.052	0.0132
11786	0.0206	0.0054
11787	0.0072	0.002
11788	0.0032	0.001
11789	0.0022	0.001
11790	0.002	0.0004
11791	0.0042	0.0008
11792	0.0136	0.0046
11793	0.1244	0.0312
11794	0.2946	0.0658
11795	0.4448	0.1116
11796	0.3094	0.0752
11797	0.1796	0.038
11798	0.087	0.0214
11799	0.0408	0.0076
11800	0.0156	0.0036
11801	0.0064	0.0018
11802	0.0032	0.0006
11803	0.0018	0.0004
11804	0.0008	0.0006
11805	0.0012	0
11806	0.0048	0.0006
11807	0.0986	0.0264
11808	0.273	0.0708
11809	0.2778	0.0696
11810	0.2686	0.0694
11811	0.1696	0.0438
11812	0.0856	0.0194
11813	0.04	0.009
11814	0.017	0.003
11815	0.0078	0.0014
11816	0.0022	0.0004
11817	0.0016	0.0004
11818	0.0006	0
11819	0.0054	0.002
11820	0.0098	0.0024
11821	0.1314	0.0332
11822	0.3192	0.0794
11823	0.31	0.0692
11824	0.3132	0.0748
11825	0.1674	0.0394
11826	0.0934	0.0208
11827	0.0434	0.0106
11828	0.0182	0.0052
11829	0.007	0.0024
11830	0.0042	0.001
11831	0.0016	0.0004
11832	0.0016	0.0008
11833	0.0078	0.0022
11834	0.0272	0.0082
11835	0.1506	0.038
11836	0.32	0.078
11837	0.3728	0.0954
11838	0.229	0.056
11839	0.1528	0.0376
11840	0.0794	0.0204
11841	0.038	0.01
11842	0.0142	0.0038
11843	0.0056	0.0012
11844	0.0028	0.0004
11845	0.0018	0
11846	0.0028	0.0004
11847	0.0056	0.0016
11848	0.0722	0.0212
11849	0.1616	0.0422
11850	0.2062	0.053
11851	0.1684	0.0402
11852	0.149	0.035
11853	0.0856	0.02
11854	0.0424	0.0098
11855	0.0202	0.0054
11856	0.0086	0.0012
11857	0.0046	0.0014
11858	0.0012	0.0002
11859	0.0024	0.0002
11860	0.0064	0.0014
11861	0.0346	0.0086
11862	0.2586	0.0626
11863	0.4022	0.1034
11864	0.254	0.0628
11865	0.1752	0.0454
11866	0.097	0.0254
11867	0.0462	0.0102
11868	0.0198	0.0044
11869	0.0068	0.0014
11870	0.0022	0.0008
11871	0.0012	0.001
11872	0.0008	0.0002
11873	0.0008	0.0002
11874	0.013	0.0036
11875	0.1938	0.0494
11876	0.3214	0.0824
11877	0.2692	0.0642
11878	0.246	0.0604
11879	0.1356	0.029
11880	0.071	0.0132
11881	0.032	0.0068
11882	0.0126	0.002
11883	0.0052	0.0008
11884	0.0026	0.0004
11885	0.0008	0.0006
11886	0.003	0.0002
11887	0.019	0.0044
11888	0.1782	0.0412
11889	0.466	0.1146
11890	0.3354	0.0848
11891	0.2138	0.05
11892	0.1074	0.0262
11893	0.048	0.009
11894	0.0194	0.0044
11895	0.0074	0.0014
11896	0.0038	0.0006
11897	0.0014	0
11898	0.0002	0.0002
11899	0.0012	0.0002
11900	0.0054	0.0016
11901	0.0552	0.0124
11902	0.3726	0.0898
11903	0.4128	0.0988
11904	0.3426	0.0836
11905	0.2	0.0496
11906	0.1028	0.0242
11907	0.0492	0.011
11908	0.0194	0.0046
11909	0.0076	0.0014
11910	0.0032	0.0004
11911	0.0016	0.0004
11912	0.0022	0.0002
11913	0.0038	0.0012
11914	0.0146	0.004
11915	0.1918	0.0472
11916	0.3792	0.09
11917	0.3548	0.0874
11918	0.232	0.0574
11919	0.1122	0.027
11920	0.0548	0.0126
11921	0.0228	0.0054
11922	0.0096	0.0018
11923	0.0038	0.0008
11924	0.0014	0.0004
11925	0.0014	0.0002
11926	0.0006	0.0006
11927	0.0018	0.0012
11928	0.0048	0.0014
11929	0.0734	0.0212
11930	0.1902	0.0502
11931	0.2132	0.0566
11932	0.1844	0.0472
11933	0.1256	0.0294
11934	0.0794	0.0186
11935	0.034	0.0078
11936	0.0172	0.0036
11937	0.0094	0.0018
11938	0.0042	0.0004
11939	0.0024	0.0002
11940	0.0032	0.0004
11941	0.0124	0.002
11942	0.1208	0.033
11943	0.2518	0.0694
11944	0.1908	0.0504
11945	0.1312	0.0344
11946	0.0704	0.0144
11947	0.0308	0.0064
11948	0.0152	0.0026
11949	0.0056	0.001
11950	0.0022	0.0002
11951	0.0014	0
11952	0.0006	0
11953	0.0004	0.0002
11954	0.003	0.0014
11955	0.0102	0.002
11956	0.1882	0.0468
11957	0.3372	0.0836
11958	0.3222	0.0764
11959	0.2832	0.0694
11960	0.1474	0.032
11961	0.0692	0.0152
11962	0.0322	0.0064
11963	0.0128	0.003
11964	0.004	0.001
11965	0.0014	0.0008
11966	0.0008	0.0006
11967	0.0016	0.0004
11968	0.0064	0.0022
11969	0.0212	0.0054
11970	0.1842	0.0472
11971	0.3074	0.077
11972	0.3038	0.0752
11973	0.2282	0.0574
11974	0.138	0.0314
11975	0.0752	0.0162
11976	0.0336	0.008
11977	0.0126	0.0028
11978	0.0062	0.0014
11979	0.002	0.0008
11980	0.0012	0.0002
11981	0.0024	0.001
11982	0.007	0.0016
11983	0.0586	0.014
11984	0.2972	0.0712
11985	0.4226	0.0996
11986	0.3724	0.0958
11987	0.168	0.042
11988	0.081	0.0204
11989	0.0346	0.0084
11990	0.013	0.0044
11991	0.0046	0.0016
11992	0.0018	0.0008
11993	0.0008	0.0004
11994	0.0006	0
11995	0.002	0.0002
11996	0.0032	0.0014
11997	0.0644	0.0164
11998	0.3018	0.0738
11999	0.3698	0.0924
12000	0.3012	0.074
12001	0.2194	0.054
12002	0.1118	0.0284
12003	0.0548	0.0148
12004	0.024	0.0048
12005	0.011	0.002
12006	0.0036	0.0006
12007	0.0016	0.0004
12008	0.0014	0.001
12009	0.0046	0.0008
12010	0.0254	0.0088
12011	0.0962	0.0258
12012	0.185	0.045
12013	0.2538	0.0656
12014	0.1692	0.0444
12015	0.1114	0.0256
12016	0.0546	0.0136
12017	0.0288	0.0056
12018	0.0122	0.0014
12019	0.006	0.0014
12020	0.0028	0.0006
12021	0.003	0.0002
12022	0.0034	0.0002
12023	0.0042	0.001
12024	0.0372	0.0096
12025	0.2364	0.0562
12026	0.4114	0.1058
12027	0.2392	0.06
12028	0.1442	0.033
12029	0.0754	0.016
12030	0.0338	0.007
12031	0.0122	0.003
12032	0.0048	0.001
12033	0.0012	0.0006
12034	0.001	0
12035	0.001	0
12036	0.0014	0.001
12037	0.007	0.0014
12038	0.1526	0.0378
12039	0.3406	0.0826
12040	0.3636	0.0882
12041	0.2896	0.0692
12042	0.2078	0.0476
12043	0.103	0.0244
12044	0.0454	0.0128
12045	0.0188	0.0058
12046	0.0068	0.002
12047	0.0028	0.0004
12048	0.0012	0.0004
12049	0.0022	0.0002
12050	0.0054	0.0014
12051	0.0318	0.008
12052	0.266	0.068
12053	0.3254	0.0788
12054	0.3176	0.0772
12055	0.2274	0.058
12056	0.1314	0.0332
12057	0.0682	0.0162
12058	0.031	0.0074
12059	0.0116	0.0024
12060	0.005	0.001
12061	0.0024	0.0006
12062	0.0014	0.0004
12063	0.0054	0.001
12064	0.019	0.0034
12065	0.3022	0.0716
12066	0.4586	0.1154
12067	0.3018	0.0722
12068	0.2148	0.0512
12069	0.1056	0.024
12070	0.0504	0.0096
12071	0.0196	0.0036
12072	0.0074	0.0016
12073	0.0022	0.0008
12074	0.001	0.0004
12075	0.0016	0
12076	0.001	0.0002
12077	0.0052	0.0008
12078	0.0772	0.021
12079	0.2584	0.061
12080	0.3786	0.086
12081	0.4386	0.1086
12082	0.2674	0.0638
12083	0.173	0.042
12084	0.0878	0.0214
12085	0.037	0.0092
12086	0.015	0.003
12087	0.0054	0.0002
12088	0.0024	0.0002
12089	0.002	0
12090	0.004	0.0006
12091	0.0066	0.0014
12092	0.0836	0.0206
12093	0.2806	0.065
12094	0.3962	0.1
12095	0.248	0.059
12096	0.1624	0.0336
12097	0.0854	0.018
12098	0.0422	0.0088
12099	0.0152	0.0036
12100	0.0064	0.0016
12101	0.0022	0.0008
12102	0.0024	0.0006
12103	0.001	0.0004
12104	0.0024	0.0002
12105	0.039	0.0092
12106	0.331	0.0798
12107	0.4262	0.1036
12108	0.3448	0.0864
12109	0.2062	0.0514
12110	0.1084	0.023
12111	0.0516	0.011
12112	0.022	0.0056
12113	0.0088	0.0016
12114	0.0022	0.0004
12115	0.0014	0.0004
12116	0.0012	0
12117	0.0024	0.0002
12118	0.0088	0.0026
12119	0.1834	0.048
12120	0.2876	0.0718
12121	0.3452	0.0842
12122	0.2562	0.0636
12123	0.1618	0.0426
12124	0.0878	0.0224
12125	0.0438	0.0122
12126	0.0176	0.005
12127	0.0062	0.001
12128	0.003	0.0006
12129	0.0014	0
12130	0.0034	0.0008
12131	0.0092	0.0014
12132	0.125	0.0278
12133	0.4784	0.1122
12134	0.5018	0.1234
12135	0.3094	0.079
12136	0.185	0.0476
12137	0.0888	0.0202
12138	0.0372	0.0092
12139	0.0144	0.002
12140	0.007	0.0014
12141	0.002	0.0008
12142	0.0012	0.0004
12143	0.0008	0.0004
12144	0.0018	0.0006
12145	0.0006	0
12146	0.0014	0.0002
12147	0.01	0.001
12148	0.3074	0.0798
12149	0.286	0.0704
12150	0.2388	0.057
12151	0.1646	0.0382
12152	0.0872	0.0192
12153	0.0382	0.008
12154	0.0176	0.0038
12155	0.0078	0.0014
12156	0.0036	0.0006
12157	0.0014	0
12158	0.0004	0.0006
12159	0.004	0.0008
12160	0.0352	0.01
12161	0.2136	0.0548
12162	0.2922	0.0722
12163	0.2812	0.0714
12164	0.1882	0.0448
12165	0.126	0.0316
12166	0.0634	0.0154
12167	0.0302	0.0078
12168	0.0152	0.004
12169	0.005	0.0022
12170	0.0018	0.0008
12171	0.0016	0
12172	0.0044	0.001
12173	0.015	0.0042
12174	0.2154	0.0518
12175	0.4158	0.1048
12176	0.3608	0.0874
12177	0.2942	0.0698
12178	0.1754	0.0412
12179	0.0848	0.0208
12180	0.0342	0.0082
12181	0.014	0.0038
12182	0.0058	0.0018
12183	0.0028	0.0004
12184	0.0016	0
12185	0.0026	0.001
12186	0.0146	0.0046
12187	0.0984	0.024
12188	0.33	0.0818
12189	0.3192	0.0762
12190	0.244	0.0636
12191	0.1496	0.0386
12192	0.0714	0.0204
12193	0.0292	0.008
12194	0.014	0.0038
12195	0.005	0.0018
12196	0.003	0.0002
12197	0.001	0
12198	0.0006	0
12199	0.005	0.0022
12200	0.0176	0.0022
12201	0.3224	0.084
12202	0.2808	0.072
12203	0.2174	0.0492
12204	0.1342	0.0306
12205	0.0676	0.0154
12206	0.0272	0.0072
12207	0.0098	0.0028
12208	0.004	0.001
12209	0.003	0.0002
12210	0.0018	0.0002
12211	0.0004	0.0002
12212	0.0024	0.0006
12213	0.0092	0.0026
12214	0.1478	0.0398
12215	0.2428	0.0584
12216	0.2786	0.0682
12217	0.1584	0.0398
12218	0.0998	0.0242
12219	0.0468	0.0104
12220	0.0218	0.0044
12221	0.0092	0.0024
12222	0.0036	0.0012
12223	0.0016	0.0006
12224	0.001	0.0002
12225	0.002	0.0006
12226	0.007	0.0012
12227	0.1274	0.0304
12228	0.4344	0.1082
12229	0.3368	0.0836
12230	0.2158	0.0552
12231	0.111	0.0278
12232	0.0454	0.0088
12233	0.0188	0.0036
12234	0.0048	0.0016
12235	0.0028	0.0006
12236	0.0014	0.0002
12237	0.0004	0.0004
12238	0.0004	0
12239	0.0014	0.0004
12240	0.0008	0.0002
12241	0.0006	0
12242	0.003	0.0006
12243	0.04	0.0112
12244	0.2364	0.0514
12245	0.5046	0.1292
12246	0.29	0.0698
12247	0.1976	0.049
12248	0.1082	0.024
12249	0.0478	0.0098
12250	0.0188	0.0028
12251	0.0074	0.0016
12252	0.004	0.0004
12253	0.0012	0.0004
12254	0.0004	0.0008
12255	0.001	0.0002
12256	0.0184	0.0052
12257	0.169	0.043
12258	0.326	0.0802
12259	0.3558	0.0878
12260	0.2674	0.0686
12261	0.1302	0.0366
12262	0.0642	0.015
12263	0.0274	0.006
12264	0.0126	0.0028
12265	0.0048	0.0006
12266	0.0018	0.0004
12267	0.0012	0.0002
12268	0.0014	0.0002
12269	0.0058	0.0014
12270	0.0562	0.014
12271	0.3432	0.0844
12272	0.3958	0.0978
12273	0.3362	0.0818
12274	0.2268	0.0536
12275	0.1256	0.03
12276	0.0602	0.0134
12277	0.0244	0.0054
12278	0.0078	0.0026
12279	0.0042	0.0008
12280	0.0006	0.0004
12281	0.0006	0.0006
12282	0.0038	0.0012
12283	0.0342	0.0094
12284	0.2008	0.0492
12285	0.3534	0.087
12286	0.3352	0.0802
12287	0.259	0.063
12288	0.1636	0.0376
12289	0.082	0.0186
12290	0.0378	0.0088
12291	0.0152	0.0036
12292	0.004	0.0016
12293	0.0022	0.0012
12294	0.0012	0.0004
12295	0.0022	0.0008
12296	0.0096	0.0026
12297	0.126	0.0302
12298	0.3848	0.0934
12299	0.37	0.0884
12300	0.2388	0.057
12301	0.1564	0.0334
12302	0.0752	0.0152
12303	0.0332	0.0068
12304	0.0118	0.0026
12305	0.0042	0.0014
12306	0.0018	0.0004
12307	0.0016	0.0004
12308	0.0022	0.0004
12309	0.0042	0.001
12310	0.055	0.0128
12311	0.3804	0.089
12312	0.4722	0.1164
12313	0.2968	0.073
12314	0.1854	0.0476
12315	0.0954	0.022
12316	0.0396	0.0104
12317	0.0158	0.0034
12318	0.0052	0.002
12319	0.0022	0.001
12320	0.0012	0.0002
12321	0.0014	0.0002
12322	0.003	0.0004
12323	0.0146	0.0042
12324	0.1882	0.046
12325	0.377	0.0984
12326	0.262	0.0666
12327	0.2246	0.0584
12328	0.1366	0.0348
12329	0.068	0.0162
12330	0.0326	0.007
12331	0.0138	0.0038
12332	0.0052	0.0014
12333	0.002	0.0006
12334	0.0014	0.0002
12335	0.0024	0.0002
12336	0.03	0.0072
12337	0.2256	0.055
12338	0.3634	0.09
12339	0.334	0.0852
12340	0.205	0.0542
12341	0.0958	0.023
12342	0.0454	0.011
12343	0.0176	0.0042
12344	0.0086	0.0016
12345	0.0028	0.001
12346	0.002	0.0002
12347	0.0012	0
12348	0.0008	0.0002
12349	0.0046	0.0016
12350	0.0476	0.0122
12351	0.2988	0.0774
12352	0.2978	0.072
12353	0.3148	0.0794
12354	0.1922	0.0444
12355	0.115	0.0266
12356	0.0522	0.0106
12357	0.0226	0.0046
12358	0.0094	0.0024
12359	0.0036	0.001
12360	0.0018	0.0006
12361	0.0014	0
12362	0.0082	0.0018
12363	0.0356	0.0092
12364	0.2126	0.0536
12365	0.3354	0.0836
12366	0.2784	0.0698
12367	0.1636	0.0388
12368	0.0902	0.0194
12369	0.04	0.0092
12370	0.0182	0.0034
12371	0.007	0.0014
12372	0.004	0.0008
12373	0.0022	0.0004
12374	0.001	0.0008
12375	0.002	0.0008
12376	0.0044	0.0008
12377	0.0648	0.0176
12378	0.2436	0.0644
12379	0.2288	0.0556
12380	0.2386	0.0606
12381	0.1444	0.0354
12382	0.0834	0.0184
12383	0.0384	0.009
12384	0.0166	0.0028
12385	0.0094	0.0016
12386	0.0046	0.0008
12387	0.002	0
12388	0.001	0.0004
12389	0.0068	0.0024
12390	0.0334	0.0076
12391	0.2678	0.0722
12392	0.2336	0.0566
12393	0.2736	0.0646
12394	0.2436	0.0606
12395	0.1764	0.0462
12396	0.094	0.0236
12397	0.045	0.0116
12398	0.0194	0.0042
12399	0.0068	0.0018
12400	0.003	0.0004
12401	0.0012	0.0002
12402	0.0184	0.004
12403	0.1234	0.0324
12404	0.2206	0.0564
12405	0.2428	0.058
12406	0.2478	0.0634
12407	0.1608	0.0428
12408	0.09	0.0236
12409	0.046	0.011
12410	0.0214	0.004
12411	0.0086	0.0016
12412	0.0054	0.0008
12413	0.0024	0.0006
12414	0.0026	0.001
12415	0.008	0.0032
12416	0.0306	0.0068
12417	0.2788	0.0696
12418	0.3512	0.0846
12419	0.3522	0.0878
12420	0.2306	0.0578
12421	0.1358	0.0322
12422	0.0648	0.0152
12423	0.03	0.0066
12424	0.0144	0.0026
12425	0.0044	0.0006
12426	0.0018	0.0006
12427	0.0012	0.0002
12428	0.0036	0.0008
12429	0.0144	0.0034
12430	0.1474	0.038
12431	0.3002	0.0724
12432	0.327	0.0828
12433	0.2226	0.0548
12434	0.1206	0.028
12435	0.0492	0.0084
12436	0.022	0.0042
12437	0.009	0.002
12438	0.0034	0.001
12439	0.0018	0.001
12440	0.0008	0.0004
12441	0.0012	0.0002
12442	0.0028	0.0006
12443	0.0172	0.0056
12444	0.1172	0.029
12445	0.2878	0.0738
12446	0.2334	0.0592
12447	0.1606	0.0406
12448	0.09	0.0222
12449	0.0462	0.0104
12450	0.0212	0.0046
12451	0.0092	0.0026
12452	0.0028	0.0004
12453	0.0014	0
12454	0.0012	0.0004
12455	0.001	0.0002
12456	0.0068	0.0016
12457	0.062	0.0176
12458	0.2048	0.0522
12459	0.2574	0.0638
12460	0.2474	0.0598
12461	0.2296	0.0556
12462	0.1422	0.0374
12463	0.0762	0.0202
12464	0.0338	0.0102
12465	0.0162	0.0054
12466	0.0074	0.002
12467	0.0034	0.0002
12468	0.0038	0.0008
12469	0.0138	0.004
12470	0.0926	0.0258
12471	0.1938	0.0474
12472	0.3188	0.084
12473	0.2204	0.0552
12474	0.1822	0.0452
12475	0.105	0.0272
12476	0.0512	0.0138
12477	0.024	0.0062
12478	0.0122	0.0016
12479	0.005	0.0006
12480	0.003	0.0002
12481	0.0034	0.0006
12482	0.0058	0.0006
12483	0.154	0.0358
12484	0.3978	0.1
12485	0.3274	0.0834
12486	0.2014	0.049
12487	0.1244	0.0288
12488	0.0528	0.015
12489	0.0248	0.0072
12490	0.0086	0.0026
12491	0.0032	0.0006
12492	0.0012	0.0002
12493	0.0016	0.0002
12494	0.001	0.0004
12495	0.0048	0.0022
12496	0.0384	0.0112
12497	0.1764	0.0412
12498	0.396	0.099
12499	0.2992	0.071
12500	0.2346	0.0592
12501	0.1382	0.037
12502	0.0716	0.017
12503	0.0316	0.0072
12504	0.0144	0.0022
12505	0.0058	0.0012
12506	0.0024	0.0004
12507	0.001	0.0004
12508	0.0016	0.0004
12509	0.0162	0.0032
12510	0.2314	0.0574
12511	0.3456	0.0864
12512	0.2594	0.066
12513	0.1408	0.0324
12514	0.0742	0.0146
12515	0.0324	0.006
12516	0.0118	0.0024
12517	0.0046	0.001
12518	0.0022	0.0004
12519	0.0022	0.0002
12520	0.0008	0
12521	0.002	0
12522	0.006	0.0016
12523	0.1206	0.0316
12524	0.2764	0.069
12525	0.2668	0.0686
12526	0.2134	0.0552
12527	0.1238	0.0304
12528	0.058	0.013
12529	0.0252	0.0048
12530	0.0112	0.0024
12531	0.004	0.0014
12532	0.0014	0.0004
12533	0.001	0
12534	0.0004	0
12535	0.0056	0.0016
12536	0.0328	0.0102
12537	0.1532	0.0348
12538	0.3612	0.0944
12539	0.201	0.053
12540	0.1482	0.0402
12541	0.0818	0.0226
12542	0.0414	0.011
12543	0.017	0.0046
12544	0.0052	0.002
12545	0.0018	0.0004
12546	0.0018	0.0004
12547	0.001	0.0002
12548	0.0014	0
12549	0.017	0.0046
12550	0.1906	0.0482
12551	0.3172	0.0732
12552	0.4652	0.112
12553	0.3	0.0702
12554	0.1866	0.0418
12555	0.0894	0.022
12556	0.0376	0.0102
12557	0.0148	0.0044
12558	0.006	0.0014
12559	0.0032	0.0004
12560	0.0008	0.0004
12561	0.0008	0.0006
12562	0.0012	0.0004
12563	0.0018	0.0014
12564	0.0076	0.0016
12565	0.1162	0.0312
12566	0.261	0.0698
12567	0.2124	0.0528
12568	0.2254	0.054
12569	0.1828	0.0456
12570	0.1166	0.0292
12571	0.0612	0.0138
12572	0.0292	0.0068
12573	0.0128	0.0028
12574	0.0064	0.001
12575	0.0024	0.0008
12576	0.0018	0.001
12577	0.0326	0.0094
12578	0.108	0.0298
12579	0.1472	0.0394
12580	0.148	0.0406
12581	0.0908	0.0266
12582	0.0566	0.0174
12583	0.0284	0.0102
12584	0.0134	0.0048
12585	0.0062	0.0028
12586	0.003	0.002
12587	0.0014	0.0008
12588	0.0012	0.0002
12589	0.0016	0.0004
12590	0.0058	0.0016
12591	0.0828	0.0216
12592	0.267	0.066
12593	0.3566	0.0876
12594	0.2798	0.0692
12595	0.1974	0.0486
12596	0.1016	0.0268
12597	0.0482	0.0136
12598	0.0226	0.0048
12599	0.0078	0.0024
12600	0.0026	0.0014
12601	0.0012	0.0006
12602	0.0014	0.0004
12603	0.003	0.0006
12604	0.0288	0.0054
12605	0.4344	0.1058
12606	0.4282	0.1108
12607	0.2864	0.0728
12608	0.1676	0.0424
12609	0.0764	0.02
12610	0.033	0.007
12611	0.0114	0.0024
12612	0.0042	0.0006
12613	0.0022	0.0008
12614	0.0008	0.0002
12615	0.0006	0
12616	0.0028	0.0004
12617	0.0114	0.0022
12618	0.2812	0.0708
12619	0.3384	0.0874
12620	0.2362	0.0592
12621	0.1364	0.0312
12622	0.0624	0.0152
12623	0.0286	0.0076
12624	0.011	0.002
12625	0.0046	0.0006
12626	0.001	0.0002
12627	0.0012	0.0004
12628	0.0006	0
12629	0.0012	0
12630	0.0056	0.0014
12631	0.077	0.0192
12632	0.2908	0.075
12633	0.3236	0.082
12634	0.286	0.0718
12635	0.2284	0.0582
12636	0.1338	0.0332
12637	0.0632	0.0162
12638	0.0266	0.0074
12639	0.012	0.0028
12640	0.0042	0.0006
12641	0.002	0
12642	0.0026	0
12643	0.0126	0.0022
12644	0.134	0.0364
12645	0.2292	0.0534
12646	0.37	0.0932
12647	0.291	0.071
12648	0.2484	0.064
12649	0.127	0.0308
12650	0.063	0.0126
12651	0.0276	0.005
12652	0.0106	0.0016
12653	0.0036	0.0012
12654	0.002	0.0006
12655	0.003	0
12656	0.009	0.0014
12657	0.123	0.0308
12658	0.311	0.075
12659	0.3582	0.0878
12660	0.3064	0.0772
12661	0.1974	0.049
12662	0.103	0.0232
12663	0.0466	0.0102
12664	0.0182	0.0042
12665	0.0084	0.0014
12666	0.0038	0.0006
12667	0.0004	0.0006
12668	0.0012	0.0002
12669	0.006	0.0008
12670	0.0494	0.0088
12671	0.5736	0.1416
12672	0.4208	0.1008
12673	0.2572	0.062
12674	0.1298	0.0294
12675	0.056	0.0156
12676	0.0208	0.0058
12677	0.007	0.002
12678	0.0032	0.0004
12679	0.0014	0
12680	0.0004	0.0004
12681	0.0008	0
12682	0.0042	0.0006
12683	0.0274	0.008
12684	0.2188	0.0542
12685	0.3308	0.0796
12686	0.3786	0.0906
12687	0.3122	0.0798
12688	0.182	0.0406
12689	0.093	0.0232
12690	0.0444	0.0128
12691	0.0186	0.0052
12692	0.0068	0.0024
12693	0.0034	0.0012
12694	0.0018	0.0006
12695	0.0038	0.0012
12696	0.0116	0.0032
12697	0.1188	0.0272
12698	0.4374	0.1112
12699	0.3024	0.075
12700	0.2524	0.0628
12701	0.1748	0.0436
12702	0.092	0.0202
12703	0.0404	0.0088
12704	0.0182	0.0044
12705	0.008	0.002
12706	0.0036	0.0008
12707	0.0008	0.0006
12708	0.0014	0.0002
12709	0.028	0.008
12710	0.2126	0.054
12711	0.2866	0.0728
12712	0.256	0.0656
12713	0.1556	0.0382
12714	0.0912	0.0226
12715	0.0396	0.0116
12716	0.0176	0.0046
12717	0.0074	0.0018
12718	0.0028	0.0006
12719	0.0014	0
12720	0.0008	0.0002
12721	0.0032	0.0004
12722	0.008	0.0024
12723	0.1218	0.0332
12724	0.2132	0.053
12725	0.2662	0.0632
12726	0.3584	0.0886
12727	0.2552	0.0612
12728	0.149	0.0322
12729	0.0746	0.016
12730	0.03	0.0068
12731	0.0124	0.0024
12732	0.005	0.0008
12733	0.002	0.0004
12734	0.003	0.0004
12735	0.0102	0.0028
12736	0.0148	0.0024
12737	0.2046	0.0508
12738	0.3996	0.0982
12739	0.2968	0.0712
12740	0.242	0.0586
12741	0.108	0.0252
12742	0.0482	0.0118
12743	0.0218	0.0052
12744	0.0082	0.0018
12745	0.0052	0.0006
12746	0.0024	0.0008
12747	0.0014	0.0004
