#Exponential Decay
#TE=5,	TI=7,	cmax=1,	eta=0.001
#t,	NE,	NI
354	0.0058	0.0006
355	0.0028	0.0004
356	0.0004	0.0002
357	0.001	0
358	0.0016	0
359	0.0084	0.0018
360	0.1648	0.0394
361	0.4	0.0994
362	0.3296	0.084
363	0.238	0.0578
364	0.1262	0.0316
365	0.0628	0.0144
366	0.026	0.005
367	0.0082	0.0014
368	0.0042	0.0006
369	0.0018	0
370	0.001	0.0002
371	0.002	0
372	0.0098	0.0028
373	0.099	0.026
374	0.2694	0.0668
375	0.356	0.0898
376	0.2844	0.0686
377	0.1902	0.0452
378	0.1056	0.0242
379	0.0478	0.0106
380	0.019	0.0044
381	0.0084	0.002
382	0.0032	0.0004
383	0.0024	0
384	0.003	0.0004
385	0.0082	0.001
386	0.0546	0.0142
387	0.2774	0.067
388	0.4084	0.097
389	0.3568	0.0888
390	0.218	0.0524
391	0.129	0.0312
392	0.059	0.016
393	0.0258	0.0076
394	0.0088	0.0024
395	0.0036	0.001
396	0.0022	0
397	0.0006	0
398	0.0024	0.0012
399	0.0108	0.002
400	0.2328	0.0616
401	0.2676	0.065
402	0.3108	0.0774
403	0.1486	0.0342
404	0.0816	0.0176
405	0.0422	0.0078
406	0.016	0.003
407	0.0046	0.0014
408	0.002	0.001
409	0.0018	0.0004
410	0.0004	0.0006
411	0.0024	0.0006
412	0.0036	0.0002
413	0.0504	0.0136
414	0.2814	0.0702
415	0.3578	0.0926
416	0.1968	0.046
417	0.1114	0.0276
418	0.0552	0.0126
419	0.0268	0.0052
420	0.009	0.0014
421	0.0056	0.0006
422	0.0018	0.001
423	0.0012	0.0004
424	0.0014	0
425	0.0014	0.001
426	0.0046	0.0008
427	0.0814	0.0184
428	0.407	0.1024
429	0.3252	0.0792
430	0.2972	0.0706
431	0.182	0.0424
432	0.0938	0.0196
433	0.0404	0.0086
434	0.0164	0.0036
435	0.0056	0.0016
436	0.0026	0.0008
437	0.0018	0.0004
438	0.0016	0
439	0.015	0.0038
440	0.1224	0.031
441	0.3196	0.0788
442	0.3156	0.0772
443	0.2504	0.0564
444	0.1612	0.0372
445	0.0908	0.0212
446	0.042	0.0088
447	0.0164	0.0038
448	0.006	0.0012
449	0.002	0.0004
450	0.0006	0.0004
451	0.0006	0.0004
452	0.0048	0.0004
453	0.0406	0.0126
454	0.1328	0.0344
455	0.2258	0.0556
456	0.2586	0.0658
457	0.197	0.0498
458	0.1398	0.0326
459	0.0826	0.02
460	0.041	0.0086
461	0.0164	0.0044
462	0.0082	0.0018
463	0.0018	0.001
464	0.002	0.0006
465	0.0054	0.0016
466	0.0094	0.0044
467	0.0774	0.02
468	0.2288	0.056
469	0.3244	0.0782
470	0.3276	0.0786
471	0.2948	0.0718
472	0.1764	0.043
473	0.0882	0.022
474	0.0388	0.0112
475	0.0166	0.005
476	0.006	0.0012
477	0.0022	0.0006
478	0.0018	0.0004
479	0.0066	0.0012
480	0.0428	0.0106
481	0.2888	0.075
482	0.299	0.0726
483	0.2944	0.0758
484	0.1776	0.047
485	0.0786	0.0184
486	0.0368	0.0082
487	0.0156	0.003
488	0.0062	0.0002
489	0.0026	0.0002
490	0.0014	0.0002
491	0.0004	0.0004
492	0.0024	0
493	0.0078	0.0022
494	0.1472	0.032
495	0.5348	0.1266
496	0.4358	0.1096
497	0.224	0.0518
498	0.1132	0.0278
499	0.0514	0.0108
500	0.0202	0.0036
501	0.0068	0.0018
502	0.003	0.0006
503	0.0006	0.0002
504	0.001	0
505	0.0008	0.0004
506	0.002	0.0002
507	0.0034	0.001
508	0.0546	0.0128
509	0.3768	0.0998
510	0.2422	0.0598
511	0.1836	0.0474
512	0.092	0.0226
513	0.0416	0.0086
514	0.0176	0.0046
515	0.0078	0.002
516	0.0022	0.0008
517	0.002	0.0004
518	0.0012	0
519	0.0008	0
520	0.0038	0.0016
521	0.012	0.0032
522	0.1166	0.032
523	0.2084	0.0486
524	0.278	0.0636
525	0.3154	0.0742
526	0.2338	0.057
527	0.1408	0.0354
528	0.0644	0.0152
529	0.0308	0.008
530	0.012	0.0022
531	0.0062	0.0004
532	0.003	0.0006
533	0.0046	0.0004
534	0.0066	0.0014
535	0.0218	0.0066
536	0.17	0.0416
537	0.3548	0.0868
538	0.3682	0.0926
539	0.1966	0.0478
540	0.1074	0.0246
541	0.0492	0.0108
542	0.0208	0.005
543	0.0084	0.0032
544	0.0036	0.001
545	0.001	0.0002
546	0.0012	0
547	0.001	0.0002
548	0.0032	0.0004
549	0.023	0.0098
550	0.0736	0.0188
551	0.1966	0.0476
552	0.2998	0.0746
553	0.2824	0.0758
554	0.1622	0.0418
555	0.0934	0.0234
556	0.0432	0.0112
557	0.0184	0.005
558	0.0096	0.0018
559	0.005	0.001
560	0.0028	0.001
561	0.003	0.0006
562	0.0028	0.0004
563	0.006	0.0026
564	0.0604	0.0176
565	0.216	0.053
566	0.3354	0.0866
567	0.2482	0.0624
568	0.1912	0.048
569	0.0976	0.0248
570	0.0426	0.0114
571	0.0162	0.0042
572	0.0062	0.0016
573	0.0024	0.0006
574	0.0018	0.0004
575	0.0006	0.0002
576	0.0012	0.0004
577	0.0046	0.0022
578	0.0292	0.0112
579	0.0824	0.019
580	0.256	0.0704
581	0.1738	0.0476
582	0.118	0.0288
583	0.0896	0.0202
584	0.0454	0.0108
585	0.02	0.0044
586	0.0098	0.0026
587	0.005	0.0014
588	0.0024	0.0014
589	0.0022	0.0012
590	0.0016	0.0002
591	0.0162	0.003
592	0.2662	0.0666
593	0.334	0.0858
594	0.2694	0.0648
595	0.1918	0.0432
596	0.1028	0.023
597	0.0472	0.0098
598	0.0194	0.0042
599	0.0072	0.0022
600	0.0022	0.0012
601	0.0014	0.0004
602	0	0
603	0.0024	0.001
604	0.013	0.004
605	0.1432	0.0348
606	0.3408	0.084
607	0.3458	0.0866
608	0.3348	0.0852
609	0.188	0.0484
610	0.0928	0.0222
611	0.0468	0.0098
612	0.0174	0.0036
613	0.0058	0.0018
614	0.0042	0.0006
615	0.001	0.0004
616	0.0016	0.0002
617	0.009	0.0018
618	0.0544	0.0126
619	0.3676	0.089
620	0.4308	0.1044
621	0.331	0.081
622	0.1974	0.0492
623	0.0974	0.0238
624	0.0448	0.0106
625	0.0166	0.0042
626	0.0076	0.002
627	0.0034	0.0008
628	0.001	0
629	0.001	0
630	0.002	0.0006
631	0.0078	0.002
632	0.1338	0.0366
633	0.2262	0.0552
634	0.3202	0.082
635	0.1876	0.0452
636	0.1176	0.029
637	0.0576	0.0132
638	0.027	0.0054
639	0.0106	0.002
640	0.0038	0.0004
641	0.0018	0.0002
642	0.0016	0.0002
643	0.0016	0.001
644	0.0008	0.0004
645	0.0034	0.001
646	0.0248	0.0054
647	0.2516	0.0624
648	0.3356	0.0852
649	0.2738	0.073
650	0.1474	0.0396
651	0.083	0.0198
652	0.035	0.009
653	0.0144	0.0038
